gene,fbgn,gene_transcript_start,fc3.count,fc4.count,fc5.count,fc6.count,p,q,logConc,logFC
Sgs5,FBgn0003375,Sgs5-PA-52,240,223,5,5,2.49806247076362e-129,1.47530573398358e-124,-16.569849964968,-5.78563206874467
Pcf11,FBgn0022063,Pcf11-PD-4791,443,450,1579,1643,2.13149417324924e-118,6.29408914418768e-114,-11.9298549406548,1.59946881219473
RpL27A,FBgn0261606,RpL27A-PA-174,13802,14734,36666,34003,7.52578318141177e-111,1.48152567709272e-106,-7.20418218562884,1.05576071703655
CkIalpha,FBgn0015024,CkIalpha-PA-780,479,553,1782,1603,6.88982092213235e-105,1.01724761004823e-100,-11.7908861564174,1.46125401767284
CG34202,FBgn0085231,CG34202-PA-448,189,203,909,789,3.80226952244048e-101,4.4910886691258e-97,-12.986622272434,1.86192905565463
Rpn12,FBgn0028693,Rpn12-PA-453,847,924,2309,2353,3.60560174194465e-80,3.54899379459612e-76,-11.1697195249635,1.14494902837911
MESR6,FBgn0036846,MESR6-PA-545,607,672,1739,1795,1.05779710532262e-78,8.92448306373478e-75,-11.6042990719179,1.21494796518059
CG5525,FBgn0032444,CG5525-PA-1122,117,119,499,510,2.26246456227543e-68,1.67020790148578e-64,-13.7275586674449,1.84396630897571
w,FBgn0003996,w-PA-1416,142,125,0,0,1.58886103465093e-67,1.04261061093794e-63,-32.2432307154993,-35.5456470566291
granny-smith,FBgn0040493,granny-smith-PB-1051,126,148,533,474,4.81426153011071e-57,2.84320657445278e-53,-13.6217656861657,1.62527838421438
CG12608,FBgn0030630,CG12608-PA-778,0,3,142,156,1.07617255065344e-56,5.77787259059006e-53,-17.756002901258,6.38303893405532
RpL36,FBgn0002579,RpL36-PA-201,9890,10524,21050,19646,3.88480244176588e-55,1.91190552171508e-51,-7.84381380861279,0.742842019021416
Hsp27,FBgn0001226,Hsp27-PA-190,10186,10688,20578,20912,9.50722581202202e-55,4.31905955389536e-51,-7.81310690155947,0.73958010159611
blw,FBgn0011211,blw-PA-118,49,42,268,266,3.11700383969228e-54,1.31488580546105e-50,-14.8740494646595,2.30050511602652
CG16885,FBgn0032538,CG16885-PA-577,30,34,234,220,4.66138513083918e-54,1.835280553714e-50,-15.245183459446,2.57415634181514
CG11454,FBgn0031224,CG11454-PA-657,19,15,181,180,5.14529150053025e-54,1.89919140898947e-50,-15.8666766869301,3.1560293448284
RpL4,FBgn0003279,RpL4-PA-594,873,942,2165,1971,1.79406375857838e-53,6.23257749730129e-50,-11.2389094108484,0.935612299255554
CG8545,FBgn0033741,CG8545-PA-1878,179,198,597,604,7.2667152112391e-53,2.38420926080755e-49,-13.2641138460008,1.4196580149556
Sgs4,FBgn0003374,Sgs4-PB-518,90,128,1,0,2.55491192822249e-50,7.94147308720862e-47,-18.7756520940757,-8.01821097620089
Nf-YC,FBgn0029905,Nf-YC-PA-1767,178,188,559,571,2.76368203114525e-48,8.16087666976881e-45,-13.3293560718061,1.37439595484757
CG4169,FBgn0250814,CG4169-PA-317,4504,4611,8850,8855,2.87185130541026e-46,8.07646639975804e-43,-9.02507818026065,0.705803123333642
CG8036,FBgn0037607,CG8036-PB-652,1204,1165,2516,2427,4.59767384840699e-44,1.23422464608736e-40,-10.9174682082403,0.808188665819583
ndl,FBgn0002926,ndl-PA-5158,1258,1201,827,743,1.22842380643603e-43,3.15427187654343e-40,-11.7180631385979,-0.900829035281699
Uba2,FBgn0029113,Uba2-PA-1970,1495,1504,979,997,2.07316409668945e-43,5.10153855092857e-40,-11.4087190611048,-0.85415217022075
CG6523,FBgn0032509,CG6523-PA-198,1683,1724,1178,1139,1.71429231342669e-41,4.04970701785413e-38,-11.2021364933574,-0.808720867212147
CG11590,FBgn0030545,CG11590-PA-350,310,321,138,129,2.67583637612707e-41,6.07805941158894e-38,-13.9773256910628,-1.49324312113198
SA,FBgn0020616,SA-PA-3319,336,350,145,158,3.42180740890638e-41,7.48463340574789e-38,-13.8256666080695,-1.43101981380311
Mgat1,FBgn0034521,Mgat1-PA-292,40,62,244,236,4.80438646393634e-41,1.01334805638269e-37,-14.868882000825,1.98239460515652
CG30069,FBgn0050069,CG30069-PA-11830,816,846,1819,1701,1.96342886064571e-40,3.99848902248325e-37,-11.4184835521262,0.83000048816613
prtp,FBgn0030329,prtp-PA-188,914,970,1995,1930,2.81231239109635e-40,5.53631817311228e-37,-11.2494073751106,0.8067278466517
CG4449,FBgn0039065,CG4449-PA-1101,210,212,69,74,3.61645386182503e-39,6.88969458618266e-36,-14.7178289407265,-1.81357483982355
Int6,FBgn0025582,Int6-PA-1150,1087,1068,2195,2191,6.21700832293914e-39,1.14738774230044e-35,-11.0719033042541,0.772787052000241
Marcal1,FBgn0031655,Marcal1-PA-1962,543,543,320,283,3.82096201459394e-38,6.83813256539056e-35,-12.9980308808629,-1.10166410972288
Vha55,FBgn0005671,Vha55-PA-1167,166,177,480,498,7.42508871134775e-38,1.2897379091611e-34,-13.4803685086895,1.25967927007746
ft,FBgn0001075,ft-PA-13287,152,174,487,455,1.18533668162054e-37,2.00010324980417e-34,-13.5444159525722,1.27854872477283
CG8112,FBgn0037612,CG8112-PA-1590,58,82,1,2,1.54027320442132e-37,2.52681819185317e-34,-18.3019073136433,-5.79526652042606
w,FBgn0003996,w-PA-1823,71,71,6,2,2.09494640089425e-37,3.3438741768652e-34,-17.5835444036999,-4.40221840022408
maf-S,FBgn0034534,maf-S-PA-47,995,980,647,657,2.70748913156408e-35,4.20786560873451e-32,-12.0098548381021,-0.85137132250469
Ubi-p5E,FBgn0086558,Ubi-p5E-PA-684,6497,6662,5112,5131,3.69042483563943e-35,5.58843871649215e-32,-9.15497331664103,-0.613441736202852
CG8036,FBgn0037607,CG8036-PB-116,118,138,391,381,5.48680467822399e-35,8.1009927671638e-32,-13.8622476446293,1.34033907843469
Trxr-1,FBgn0020653,Trxr-1-PA-235,42,49,208,204,8.72280805489894e-35,1.2564673124542e-31,-15.0612717248595,1.9264590817996
DnaJ-1,FBgn0263106,DnaJ-1-PA-546,835,893,1772,1714,1.68702325665919e-34,2.3721957021852e-31,-11.397341142762,0.760346048590975
Myb,FBgn0002914,Myb-PA-1801,366,358,196,171,2.54125904105222e-34,3.49027154526656e-31,-13.6486530037929,-1.23305254067129
Ddx1,FBgn0015075,Ddx1-PA-483,27,43,180,178,3.09011537848077e-34,4.14763713687084e-31,-15.3519318471112,2.10243474698903
e(y)1,FBgn0000617,e(y)1-PA-321,117,123,488,530,3.30717939620548e-34,4.34034223958008e-31,-13.708542810292,1.8336890513374
Poc1,FBgn0036354,Poc1-PA-1134,793,876,562,523,1.02326594404579e-33,1.31374000268383e-30,-12.2645637440556,-0.873429735660552
Rack1,FBgn0020618,Rack1-PA-788,17638,18546,14821,14220,1.47928698990069e-33,1.85880278828841e-30,-7.6740423841337,-0.569514415342851
Nat1,FBgn0031020,Nat1-PA-1500,172,187,471,491,1.66359899477683e-33,2.04685061319854e-30,-13.4593932703028,1.17017112357413
vig,FBgn0024183,vig-PA-39,116,116,365,341,5.6264476550749e-33,6.78136215537578e-30,-13.9976776229506,1.35300123847786
Muc68E,FBgn0053265,Muc68E-PA-4903,2810,2668,2085,2079,1.20954797655372e-32,1.42866968798619e-29,-10.4361191594133,-0.648686887039465
eIF3-S10,FBgn0037249,eIF3-S10-PA-2675,2532,2830,5100,4691,1.34244111081722e-32,1.55454680632634e-29,-9.83615227174222,0.616545830844547
su(w[a]),FBgn0003638,su(w[a])-PA-1828,481,509,1117,1005,1.38087672201065e-32,1.56830418170202e-29,-12.1574468401917,0.847134081309275
Akap200,FBgn0027932,Akap200-PA-835,1313,1381,2709,2427,1.49438899532717e-32,1.66520047709494e-29,-10.7978340837504,0.677867775895187
Trax,FBgn0038327,Trax-PA-109,1851,1809,1331,1361,1.62372806921486e-32,1.77581726503132e-29,-11.0417880062972,-0.695620109833302
Mlc2,FBgn0002773,Mlc2-PA-546,172,166,59,56,2.18296474169001e-32,2.34402784935871e-29,-15.0351472993299,-1.80793755137677
sesB,FBgn0003360,sesB-PA-165,1726,1843,1299,1328,4.65402065977648e-32,4.90816343080499e-29,-11.0780092719215,-0.693716708841773
boi,FBgn0040388,boi-PA-165,39,46,190,190,5.01749053735359e-32,5.19864835359699e-29,-15.1687758787587,1.90826213115183
Rrp1,FBgn0004584,Rrp1-PA-1716,672,735,476,425,7.6368014223488e-32,7.77610721381164e-29,-12.5218294333421,-0.895432229920203
CG31728,FBgn0051728,CG31728-PC-1314,478,511,1024,1075,1.17860296078789e-31,1.17976158742731e-28,-12.1654773413277,0.834089087443628
ft,FBgn0001075,ft-PA-14214,237,276,609,622,1.8258368930285e-31,1.79717125380795e-28,-13.024188477714,1.01111213866327
ry,FBgn0003308,ry-PA-3989,51,48,0,0,1.86734976095624e-31,1.80790069151727e-28,-32.9594245715688,-34.1132593444901
Hsp68,FBgn0001230,Hsp68-PA-1806,11,11,102,105,1.094091940791e-30,1.04217551353605e-27,-16.5818989181065,2.98177153123766
msd5,FBgn0035210,msd5-PA-61,122,145,45,33,1.47638281791229e-30,1.3840034358772e-27,-15.4855498163655,-2.02758621657268
bel,FBgn0263231,bel-PA-2092,727,754,1510,1435,1.73950794470194e-30,1.60518531559699e-27,-11.6302350018201,0.739203955998714
mri,FBgn0035107,mri-PA-1021,2167,2091,1613,1621,2.63542734677465e-30,2.39450874224335e-27,-10.8002791974891,-0.649589439337145
CG32230,FBgn0052230,CG32230-PA-158,2838,2784,2192,2173,4.70353457416051e-30,4.20880825576927e-27,-10.3835983632954,-0.617811836411488
RpL13,FBgn0011272,RpL13-PA-58,7498,7792,6529,5852,4.7948862270423e-30,4.2265132954726e-27,-8.91075669105447,-0.557741507818136
CG7834,FBgn0039697,CG7834-PA-234,418,419,944,850,1.23483399669312e-29,1.07245332612797e-26,-12.3995239537575,0.846889607960407
CG3655,FBgn0040397,CG3655-PA-1299,70,77,265,237,1.64092615906335e-29,1.404490102927e-26,-14.5729343157232,1.51934269780902
CG10576,FBgn0035630,CG10576-PA-972,591,617,1216,1209,1.36215421033403e-28,1.14923004791296e-25,-11.9171857869491,0.753285436576755
RpL35A,FBgn0037328,RpL35A-PA-450,17524,18361,31368,29800,2.03609987624276e-28,1.69363361255133e-25,-7.14273072736224,0.516951043272451
CG8036,FBgn0037607,CG8036-PB-399,360,460,1238,1327,4.30228260526551e-28,3.52894730696903e-25,-12.1566507826361,1.39648159056214
CG5335,FBgn0034365,CG5335-PA-946,1480,1399,1083,1066,4.98701224410521e-28,4.03456122071734e-25,-11.3774851194799,-0.674939553341853
Prosalpha7,FBgn0023175,Prosalpha7-PA-601,1147,1241,873,871,6.77769052120114e-28,5.38644589277509e-25,-11.6635430424609,-0.705207024587119
nudC,FBgn0021768,nudC-PA-858,8133,7745,6597,6468,6.84045246974384e-28,5.38644589277509e-25,-8.84359885545948,-0.534613866770513
Hsp27,FBgn0001226,Hsp27-PA-43,4472,4660,8007,7786,1.63014724344622e-27,1.26675310399272e-24,-9.10646835853159,0.538077990112855
dnk,FBgn0022338,dnk-PA-381,598,649,390,431,2.96347615899844e-27,2.27294772724844e-24,-12.6754808804765,-0.854543607925314
Amun,FBgn0030328,Amun-PA-444,37,49,201,229,4.43016572061756e-27,3.35431701446451e-24,-15.0708312107857,2.07171401846426
Sgs3,FBgn0003373,Sgs3-PA-809,60,52,0,5,4.6613317439636e-27,3.48467000170889e-24,-18.0931974985254,-4.73804426473679
CG9170,FBgn0030716,CG9170-PA-3426,48,54,3,3,4.8641747507122e-27,3.59085540534452e-24,-18.0297428060287,-4.33977997808669
CG13298,FBgn0035692,CG13298-PA-294,4557,4595,3888,3569,5.12031394268936e-27,3.73327778799195e-24,-9.64634367031941,-0.548787302192631
CG33695,FBgn0052831,CG33695-PA-135,125,117,349,321,5.77059750811986e-27,4.15609692237247e-24,-14.004962660431,1.21644940544258
CG9170,FBgn0030716,CG9170-PA-3494,0,0,66,45,8.92410668061265e-27,6.34987822100749e-24,-33.0037442450266,34.0246199975744
miple2,FBgn0029002,miple2-PA-421,1234,1220,923,898,1.06233522503598e-26,7.46897544287796e-24,-11.6124294923723,-0.683114619974627
CG14215,FBgn0031052,CG14215-PA-4666,29,38,153,151,1.10606183819076e-26,7.68491765174941e-24,-15.5014294183858,1.92962811134342
inx3,FBgn0028373,inx3-PA-636,64,68,219,227,1.72560584589785e-26,1.18500965170971e-23,-14.7356683960779,1.50435664753694
usp,FBgn0003964,usp-PA-891,156,191,648,531,2.05011209653236e-26,1.39167264594262e-23,-13.3388605785833,1.51158574042854
CG9253,FBgn0032919,CG9253-PA-571,302,320,178,161,2.12948966442155e-26,1.42912955228873e-23,-13.8155469074046,-1.1280717790281
gpp,FBgn0261972,gpp-PD-5827,282,304,623,668,3.22490359602432e-26,2.13995906262926e-23,-12.8936311547587,0.887898312129264
CG14103,FBgn0036908,CG14103-PA-591,706,671,486,455,4.32177377595812e-26,2.83594795178372e-23,-12.5055079468373,-0.802312352515335
Slu7,FBgn0039626,Slu7-PA-1707,305,282,153,164,7.87891188585325e-26,5.11332723246946e-23,-13.9053187085693,-1.1414322391921
CG40127,FBgn0262116,CG40127-PA-261,1650,1754,1349,1291,1.08160485935748e-25,6.94319780260153e-23,-11.1088470032972,-0.618905960278232
vg,FBgn0003975,vg-PA-1182,536,585,1182,1028,1.28603668242588e-25,8.16674778394708e-23,-12.038714705087,0.726369212665964
TfIIA-S,FBgn0013347,TfIIA-S-PA-225,560,554,362,370,1.5276488534353e-25,9.59786021129594e-23,-12.8395306166392,-0.858235643041809
shg,FBgn0003391,shg-PA-4458,43,50,183,174,1.55232371638982e-25,9.65022463605789e-23,-15.1489872382,1.68829840198973
tna,FBgn0026160,tna-PA-3105,403,407,879,794,2.02804626686436e-25,1.24762871279662e-22,-12.4735471456511,0.793526694088282
CG2604,FBgn0037298,CG2604-PA-450,397,424,1312,1131,3.05095507309703e-25,1.85755984233984e-22,-12.1914000313471,1.3196898296015
Hsc70-3,FBgn0001218,Hsc70-3-PA-1620,4356,4636,7500,7786,3.15191081501996e-25,1.89944437666785e-22,-9.14085136016518,0.514403173200086
Ef2b,FBgn0000559,Ef2b-PA-1314,4293,4691,8095,7175,4.96153242450356e-25,2.9357517965307e-22,-9.14344082482217,0.512432929900763
spt4,FBgn0028683,spt4-PA-300,139,128,50,45,4.97096379242558e-25,2.9357517965307e-22,-15.3430475210122,-1.74347418960669
CG1316,FBgn0035526,CG1316-PA-1041,317,375,201,201,6.91867686239059e-25,4.04557641721845e-22,-13.6157611158028,-1.03536590830906
mfrn,FBgn0039561,mfrn-PA-738,140,117,350,329,8.02376280937914e-25,4.64575866663052e-22,-13.9518164930646,1.14881767478732
Hsp26,FBgn0001225,Hsp26-PA-384,6482,6573,16905,18171,1.28572309832587e-24,7.37206162533292e-22,-8.27212883906438,1.17476762636573
RpL26,FBgn0036825,RpL26-PA-138,2696,2824,4702,4785,1.58708889509563e-24,9.01252845832288e-22,-9.83698714536598,0.529679307808352
Ggamma1,FBgn0004921,Ggamma1-PA-95,7273,7276,6035,6213,1.94316174897601e-24,1.09294520543834e-21,-8.95325318077578,-0.500391905114208
TRAM,FBgn0040340,TRAM-PA-552,572,626,1168,1142,2.28995852508129e-24,1.27585255258727e-21,-11.9584286632227,0.695309651810026
RanBPM,FBgn0262114,RanBPM-PA-2574,87,94,260,268,2.51147164587397e-24,1.38619151833668e-21,-14.3862023189854,1.29243877232304
Hsp27,FBgn0001226,Hsp27-PA-100,1677,1815,2993,3114,4.9616194671902e-24,2.71317891197517e-21,-10.4850973936518,0.555290940676712
PGRP-LE,FBgn0030695,PGRP-LE-PA-801,0,0,43,46,1.98427834204309e-23,1.07511477361817e-20,-33.1624248246855,33.7072588382567
CG8036,FBgn0037607,CG8036-PB-138,196,203,484,437,2.47198505678474e-23,1.3271863043963e-20,-13.4148937376949,0.954138287254294
mRpS9,FBgn0037529,mRpS9-PA-531,87,100,373,449,5.72180873179287e-23,3.04431153227228e-20,-14.0424676122425,1.88720672037792
klar,FBgn0001316,klar-PA-5391,30,39,150,135,6.93013916953936e-23,3.65428713459514e-20,-15.5268525474186,1.79390992304502
CG14135,FBgn0036193,CG14135-PB-547,808,785,612,553,1.01015876959665e-22,5.27946518715391e-20,-12.2465206582656,-0.704580998681807
RpL8,FBgn0261602,RpL8-PA-243,459,473,907,919,1.20975510135981e-22,6.26716813825508e-20,-12.3088641927152,0.718239630506564
CG31156,FBgn0051156,CG31156-PA-2703,111,131,315,311,1.49591087282213e-22,7.68221776757645e-20,-14.0540189704949,1.11908003555252
gk,FBgn0020300,gk-PB-507,100,92,267,265,1.9315611442176e-22,9.833977418552e-20,-14.3381544761051,1.21788735471803
CG2604,FBgn0037298,CG2604-PA-328,76,81,252,212,2.5926330818204e-22,1.30868140637734e-19,-14.5823043283325,1.31064448685073
CG11590,FBgn0030545,CG11590-PA-387,74,95,245,241,2.71741341645686e-22,1.3600423860094e-19,-14.4956488262648,1.27187004768106
ImpE3,FBgn0001255,ImpE3-PA-960,2131,2248,1837,1743,3.76574438921391e-22,1.86888514401844e-19,-10.7074624460094,-0.543000791615672
CG14463,FBgn0037535,CG14463-PA-457,482,512,330,339,4.63000482861023e-22,2.27865687640052e-19,-12.9868493609241,-0.823267704372398
RpS11,FBgn0033699,RpS11-PB-352,11296,11666,10083,9802,6.85069130741216e-22,3.34370353085246e-19,-8.27508654485444,-0.459894354676549
Vha14-1,FBgn0262512,Vha14-1-PA-345,417,434,294,261,7.37053388914152e-22,3.56794254446656e-19,-13.2338527864516,-0.869301457462086
RpS15,FBgn0034138,RpS15-PA-255,13499,14444,12014,12238,8.18003514769632e-22,3.92761394920853e-19,-7.99018013377685,-0.455579389357334
fabp,FBgn0037913,fabp-PC-370,1414,1512,2587,2488,9.40980326338146e-22,4.48164646071599e-19,-10.7465605237822,0.542352211102146
Top3beta,FBgn0026015,Top3beta-PA-2079,231,242,514,514,1.18210928313794e-21,5.58504080348484e-19,-13.2126543363518,0.86777468493433
gek,FBgn0023081,gek-PA-4887,205,203,108,100,1.20676343181415e-21,5.6562725996889e-19,-14.4719382544624,-1.22453846178522
mRpL17,FBgn0035122,mRpL17-PA-10,48,45,5,4,1.79417739715076e-21,8.34334871818342e-19,-17.8038391871249,-3.6216898516899
qkr58E-1,FBgn0022986,qkr58E-1-PA-892,705,672,487,512,2.11676712490073e-21,9.76656506737402e-19,-12.4620887189606,-0.715438653978445
CG16892,FBgn0030122,CG16892-PA-1171,1379,1445,1144,1109,3.69786062120533e-21,1.69293219044298e-18,-11.3578174195627,-0.578141344616143
CG10565,FBgn0037051,CG10565-PA-629,98,99,262,266,4.92641875610743e-21,2.23803414537071e-18,-14.3250797196988,1.17009999180737
CG13393,FBgn0032035,CG13393-PA-298,687,797,551,547,9.43788901699634e-21,4.2548309127158e-18,-12.3406920606294,-0.686132572435772
Ance,FBgn0012037,Ance-PA-1728,1464,1454,1216,1131,9.94246094291939e-21,4.44834741187071e-18,-11.3046404041701,-0.567211586224819
mRpL39,FBgn0036462,mRpL39-PA-901,454,428,315,278,1.24570557133598e-20,5.53149470916996e-18,-13.1600621466354,-0.825860203154679
CG18088,FBgn0032082,CG18088-PA-98,133,83,7,14,1.30845518482365e-20,5.76677211233693e-18,-16.5805839711354,-3.6181199376755
Prosalpha5,FBgn0016697,Prosalpha5-PA-687,1117,1113,893,858,1.92414952409389e-20,8.41751278473609e-18,-11.7098353249651,-0.60158331718014
MED27,FBgn0037359,MED27-PA-676,263,271,155,157,2.24463098272439e-20,9.74731004248065e-18,-13.9852896785727,-1.02759581676227
sta,FBgn0003517,sta-PA-402,9796,10640,16536,16421,2.81454242406024e-20,1.2132937699281e-17,-7.99489246278209,0.438131986845473
CG43444,FBgn0263392,CG43444-PA-7408,14,13,91,78,3.38136796390189e-20,1.44707847255158e-17,-16.5805801724449,2.39346490087703
Sptr,FBgn0014032,Sptr-PA-757,1926,1834,1606,1501,3.96413438534672e-20,1.68427229158134e-17,-10.9191804598874,-0.528699259424789
CG15012,FBgn0035528,CG15012-PB-192,3749,3966,3230,3378,4.77465889778748e-20,2.01415575132524e-17,-9.85628828890928,-0.474676205993595
Jafrac2,FBgn0040308,Jafrac2-PA-558,128,139,54,60,4.83871641329671e-20,2.02670151727998e-17,-15.2115948542553,-1.47999129075191
cic,FBgn0262582,cic-PA-3078,133,122,333,293,5.20827801114664e-20,2.15098239707901e-17,-14.0162696661465,1.04277072955541
vig2,FBgn0046214,vig2-PA-39,1856,1997,3241,3233,5.2027726060728e-20,2.15098239707901e-17,-10.3722452711217,0.497048672508919
ClC-b,FBgn0033755,ClC-b-PA-2389,266,305,165,178,5.27420921735296e-20,2.16308505526688e-17,-13.8687354041536,-0.987088403906767
Cad99C,FBgn0039709,Cad99C-PA-4839,157,164,387,355,5.66229596975492e-20,2.30623362332266e-17,-13.7276506866193,0.956295481205558
Duox,FBgn0031464,Duox-PB-3765,58,65,190,187,5.71429447334093e-20,2.31147125346965e-17,-14.9079443654441,1.36365338593755
CG3800,FBgn0034802,CG3800-PA-147,1981,2021,3429,3283,6.51025065777781e-20,2.61552641732682e-17,-10.3188030866569,0.493407929546455
Argk,FBgn0000116,Argk-PA-618,422,451,885,785,9.79217534802109e-20,3.90747494394209e-17,-12.4209969811546,0.683004350845949
Mcm7,FBgn0020633,Mcm7-PA-2133,950,968,789,706,1.18990587919704e-19,4.71633969218916e-17,-11.9328915090423,-0.612437940886299
CG15019,FBgn0035541,CG15019-PA-132,403,404,274,266,1.28951429674775e-19,5.07707568915525e-17,-13.291689173177,-0.832113470487839
rin,FBgn0015778,rin-PA-1875,414,430,860,759,1.45900842024871e-19,5.70636551543366e-17,-12.4676866593374,0.68684512954517
fbp,FBgn0032820,fbp-PA-855,788,844,654,594,1.67958227801458e-19,6.52584014309111e-17,-12.179744645936,-0.639527545438813
Tor,FBgn0021796,Tor-PA-7170,331,344,710,626,2.33736628524536e-19,9.02223386104709e-17,-12.7674319823932,0.732074369956182
Tango4,FBgn0030365,Tango4-PA-1305,264,244,151,148,2.38168877151877e-19,9.13362178365947e-17,-14.0518660240686,-1.01737847945103
CG15525,FBgn0039732,CG15525-PA-258,335,366,227,227,2.56902230856822e-19,9.78847222576915e-17,-13.5185356468115,-0.878801887847589
CG5033,FBgn0028744,CG5033-PA-2185,502,541,370,371,2.65357091623327e-19,1.004580712634e-16,-12.8784817987215,-0.74522218418549
CG14442,FBgn0029893,CG14442-PA-3060,3060,3203,2698,2664,2.80595180310445e-19,1.05550255788371e-16,-10.1576861221863,-0.476102246125481
klar,FBgn0001316,klar-PA-5715,106,108,369,309,3.16786763616524e-19,1.18410080289017e-16,-14.0857157919695,1.40981720325103
sec13,FBgn0024509,sec13-PA-715,2199,2363,1921,1931,4.91548587731032e-19,1.82577839586285e-16,-10.6249228493623,-0.495666601706813
CtBP,FBgn0020496,CtBP-PA-1068,935,1011,1769,1610,7.42316502760529e-19,2.73998300125196e-16,-11.334453844529,0.54348758978149
CG9740,FBgn0037669,CG9740-PA-191,769,815,640,578,9.02133207871684e-19,3.30920391245254e-16,-12.2188082063558,-0.631661911394538
Gyk,FBgn0025592,Gyk-PA-1311,16,16,95,77,1.20112853814611e-18,4.37878081517488e-16,-16.4453713867237,2.17368386137293
rn,FBgn0259172,rn-PC-1734,534,498,972,933,1.35993356194075e-18,4.92729793258263e-16,-12.2047277411265,0.631411994156591
mRpS9,FBgn0037529,mRpS9-PA-444,43,27,157,144,1.36931538709453e-18,4.93103830067247e-16,-15.4764710213643,1.85034742560392
CG31368,FBgn0051368,CG31368-PC-4149,1516,1599,1275,1303,1.55493760714779e-18,5.55616806831355e-16,-11.1896773822672,-0.524722907122404
ND75,FBgn0017566,ND75-PA-1411,92,102,248,250,1.56172559067366e-18,5.55616806831355e-16,-14.3784211588539,1.10794076180385
RpI1,FBgn0019938,RpI1-PA-4192,144,160,72,75,1.57782991229047e-18,5.57984903952398e-16,-14.9346315852438,-1.30042078366813
ft,FBgn0001075,ft-PA-14760,653,688,1223,1177,1.6144338225596e-18,5.67531146980507e-16,-11.8494761614826,0.587437783156203
CG8801,FBgn0028473,CG8801-PA-1698,214,225,500,426,1.68355602179005e-18,5.88328115590987e-16,-13.3422272629944,0.823884834657991
CG8783,FBgn0036397,CG8783-PA-1815,52,48,11,6,1.85293695277138e-18,6.43710297392779e-16,-17.2927416850311,-2.80892156890762
Psc,FBgn0005624,Psc-PA-4419,1030,981,1730,1738,1.92108149691227e-18,6.63480883302015e-16,-11.2910682730564,0.533573069580544
RFeSP,FBgn0021906,RFeSP-PA-312,543,555,1024,983,1.93333646436684e-18,6.63831307631262e-16,-12.1226150287457,0.617687113027986
Hsp27,FBgn0001226,Hsp27-PA-279,1106,1174,1948,1944,1.96368401184391e-18,6.70354048390046e-16,-11.117736135386,0.519629634660722
Cad87A,FBgn0037963,Cad87A-PA-5802,1537,1503,1253,1268,3.14220302053395e-18,1.06650704590054e-15,-11.2230889976307,-0.522584083332119
Sgs3,FBgn0003373,Sgs3-PA-200,34,25,0,0,3.23544356275442e-18,1.09187900530943e-15,-33.3324271203762,-33.3672542468753
Prosbeta5,FBgn0029134,Prosbeta5-PA-810,1399,1471,1198,1172,3.57164080131039e-18,1.19848842297607e-15,-11.3096199149585,-0.528306819452217
N,FBgn0004647,N-PA-7378,139,131,321,310,3.98552482222569e-18,1.32981426525991e-15,-13.9691544410891,0.972150251510111
ncd,FBgn0002924,ncd-PA-1693,863,903,669,719,4.26168008329222e-18,1.4139679907813e-15,-12.0455513513326,-0.599138989240696
gish,FBgn0250823,gish-PA-600,314,335,634,635,4.5928887490923e-18,1.5153453840441e-15,-12.8325553176879,0.715357299053219
RpL5,FBgn0064225,RpL5-PA-224,2598,2644,6069,6424,5.03517648552662e-18,1.65204140490128e-15,-9.67517397060711,1.00163279817756
Cpr31A,FBgn0053302,Cpr31A-PA-130,9,6,59,64,5.34519392201004e-18,1.74406885439817e-15,-17.2336306868049,2.78330564158493
CG7492,FBgn0035807,CG7492-PA-1449,276,262,538,547,5.60603779939843e-18,1.8191284634993e-15,-13.0806425272078,0.759647921816967
Cortactin,FBgn0025865,Cortactin-PA-285,104,132,294,274,5.97904494811643e-18,1.92956522702656e-15,-14.1424170754217,1.01494146088137
nAcRbeta-64B,FBgn0000038,nAcRbeta-64B-PA-1183,1430,1479,1225,1188,6.56842084987892e-18,2.10824890517472e-15,-11.2868754088597,-0.522052674524384
cdc2rk,FBgn0013435,cdc2rk-PA-1138,109,105,44,43,1.13534341278056e-17,3.62438439308076e-15,-15.5661427450489,-1.55099958247517
unc-45,FBgn0010812,unc-45-PA-2613,456,471,338,324,1.18085637660801e-17,3.74940945643634e-15,-13.0448351866719,-0.738158880791751
olf413,FBgn0037153,olf413-PB-1960,57,63,189,162,1.34627322464343e-17,4.25177562037388e-15,-14.9774504777268,1.29586282118362
Rox8,FBgn0005649,Rox8-PB-1265,156,191,393,363,1.64648259389282e-17,5.17223239521927e-15,-13.6581473116408,0.871273732198588
CG6204,FBgn0039165,CG6204-PA-2268,446,499,368,312,1.92710552970592e-17,6.02174594568107e-15,-13.0120307564707,-0.727279191616051
mab-21,FBgn0029003,mab-21-PA-645,127,158,334,315,2.02441176888341e-17,6.29251106561667e-15,-13.9101591145111,0.935145884212207
mts,FBgn0004177,mts-PA-895,1833,1975,1641,1599,2.64698262083219e-17,8.18458113199514e-15,-10.8802061274661,-0.48495102914736
fax,FBgn0014163,fax-PA-580,22,25,100,100,2.84301803443853e-17,8.74494578530575e-15,-16.0591747600674,1.83697779033287
CG2604,FBgn0037298,CG2604-PA-357,39,29,159,125,3.01405616509714e-17,9.22301186519725e-15,-15.5400572893934,1.80770411607679
